var,missing_share
macro_urban_share,0.006060606060606061
macro_dep_ratio,0.006060606060606061
macro_pop_growth,0.006060606060606061
macro_pop_log,0.006060606060606061
macro_gdp_pc_real_log,0.08484848484848485
macro_exrate_lcu_per_usd_log,0.08705234159779614
macro_gdp_growth,0.10578512396694215
macro_gdp_pc_growth,0.10578512396694215
macro_natres_rents_gdp,0.1184573002754821
macro_inflation_cpi,0.21101928374655649
macro_exports_gdp,0.2115702479338843
macro_trade_gdp,0.2115702479338843
macro_imports_gdp,0.2115702479338843
macro_gov_cons_gdp,0.2209366391184573
macro_inv_gdp,0.2512396694214876
macro_money_broad_gdp,0.26391184573002757
macro_ca_gdp,0.29641873278236913
macro_credit_private_gdp,0.3349862258953168
macro_tax_rev_gdp,0.5371900826446281
macro_debt_gdp,0.8358126721763085
