anchor,cohort,outcome,att,se,method
EU,2004,efw_overall,-0.1298127212451429,0.2130327070158093,sdid
EU,2004,efw_delta5,-0.0739743378775988,0.235790196495036,sdid
EU,2004,reform_event_03,0.3578574321872223,0.2175974067632457,sdid
EU,2004,reversal_event_03,0.0,0.0418421580926899,sdid
EU,2004,hazard_rev_03,-0.001120784622197,0.0766736746192069,sdid
EU,2004,delta5_log_tfp,0.0425392996306012,0.0418754589283754,sdid
EU,2004,delta5_inv_share_gdp,-3.877451974598715,1.7786360980347982,sdid
EU,2004,delta5_inflation_cpi,-5.166107566885936,194.14155951767236,sdid
EU,2004,delta5_inflation_volatility,-15.903395757663048,57.38183749793081,sdid
EU,2007,efw_overall,-2.5199638135788778,0.2623450817505247,sdid
EU,2007,efw_delta5,0.4811054451763327,0.2328706304080401,sdid
EU,2007,reform_event_03,0.4897087982023026,0.148095579691516,sdid
EU,2007,reversal_event_03,0.0,0.2295707808735583,sdid
EU,2007,hazard_rev_03,-0.2898113814141796,0.2980193077724203,sdid
EU,2007,delta5_log_tfp,-0.1685465576445185,0.1265297906495424,sdid
EU,2007,delta5_inv_share_gdp,0.3308190898473974,,sdid
EU,2013,efw_overall,-1.1699817204782337,,sdid
EU,2013,reform_event_03,0.6412213008306824,,sdid
EU,2013,reversal_event_03,-0.0292678479481887,,sdid
EU,2013,hazard_rev_03,-0.2318393948744524,,sdid
EU,2013,delta5_log_gdp_pc,-0.0029348955215358,,sdid
EU,2013,delta5_log_tfp,-0.0061148618091535,,sdid
EU,2013,delta5_inflation_cpi,4.437729970372489,,sdid
EU,2013,delta5_inflation_volatility,-0.5221232954541232,,sdid
WTO,all,efw_overall,-0.0090225563909774,0.1707712345616369,cs_did
WTO,all,efw_delta5,-0.3295864661654135,0.2058364659000449,cs_did
WTO,all,reform_event_03,-0.2142857142857143,0.1891074258297961,cs_did
WTO,all,reversal_event_03,0.2118226600985221,0.1163156827981414,cs_did
WTO,all,hazard_rev_03,-0.103448275862069,0.111188870302399,cs_did
WTO,all,delta5_log_tfp,-0.0079190524737101,0.0229856719312268,cs_did
WTO,all,delta5_inv_share_gdp,4.095267903531471,1.5567615274872175,cs_did
WTO,all,delta5_inflation_cpi,23.72211729592436,32.17585429687629,cs_did
WTO,all,delta5_inflation_volatility,5.392298743903856,8.368263863324072,cs_did
