variable,year,q,pos_threshold,neg_threshold
d_efw_summary,1970,0.9,,
d_efw_summary,1975,0.9,0.206,-1.3410000000000002
d_efw_summary,1980,0.9,0.5599999999999998,-0.6120000000000003
d_efw_summary,1985,0.9,0.7130000000000002,-0.5740000000000004
d_efw_summary,1990,0.9,0.9750000000000004,-0.4279999999999997
d_efw_summary,1995,0.9,1.25,-0.3220000000000003
d_efw_summary,2000,0.9,1.024,-0.19399999999999948
d_efw_summary,2005,0.9,0.8330000000000001,-0.253
d_efw_summary,2010,0.9,0.8200000000000003,-0.3099999999999988
d_efw_summary,2015,0.9,0.5590000000000005,-0.28000000000000025
d_efw_summary,2020,0.9,0.298,-0.40900000000000003
d_efw_summary,1970,0.85,,
d_efw_summary,1975,0.85,0.09449999999999979,-1.0900000000000003
d_efw_summary,1980,0.85,0.5099999999999998,-0.5219999999999996
d_efw_summary,1985,0.85,0.5989999999999994,-0.3359999999999999
d_efw_summary,1990,0.85,0.8504999999999996,-0.3510000000000005
d_efw_summary,1995,0.85,1.0260000000000002,-0.18599999999999992
d_efw_summary,2000,0.85,0.8380000000000005,-0.08499999999999976
d_efw_summary,2005,0.85,0.7300000000000004,-0.17900000000000005
d_efw_summary,2010,0.85,0.5,-0.25999999999999973
d_efw_summary,2015,0.85,0.46000000000000074,-0.13699999999999984
d_efw_summary,2020,0.85,0.22000000000000064,-0.3684999999999995
d_efw_area1,1970,0.9,,
d_efw_area1,1975,0.9,0.4962154442409348,-2.0540468803855436
d_efw_area1,1980,0.9,0.7548481385773531,-1.5173670246626316
d_efw_area1,1985,0.9,1.099806010024987,-1.1314503672965592
d_efw_area1,1990,0.9,1.766108255231046,-0.6932445671777128
d_efw_area1,1995,0.9,2.3126669075992425,-0.4306435906560393
d_efw_area1,2000,0.9,1.3349614230450495,-1.0046521374983632
d_efw_area1,2005,0.9,1.2347506575937661,-0.5603825039534993
d_efw_area1,2010,0.9,0.7486289302831013,-0.946621084662724
d_efw_area1,2015,0.9,1.1338290330719818,-0.7057642631839399
d_efw_area1,2020,0.9,0.5785868819066181,-0.7469850765684661
d_efw_area1,1970,0.85,,
d_efw_area1,1975,0.85,0.2925799475266378,-1.7085737058031434
d_efw_area1,1980,0.85,0.5993823722507674,-1.3430186838263045
d_efw_area1,1985,0.85,0.8474534350750856,-0.8732711695159022
d_efw_area1,1990,0.85,1.405593409202143,-0.44497377206025845
d_efw_area1,1995,0.85,1.5041118613286575,-0.3551067679879277
d_efw_area1,2000,0.85,0.9879299539464477,-0.6286804556100488
d_efw_area1,2005,0.85,1.022222447157894,-0.4277706369358175
d_efw_area1,2010,0.85,0.566165798419581,-0.775388835970999
d_efw_area1,2015,0.85,0.8750341037334696,-0.4571129756871367
d_efw_area1,2020,0.85,0.45409298626191447,-0.6455723367992168
d_efw_area2,1970,0.9,,
d_efw_area2,1975,0.9,0.6659436741437919,-0.6046351934640531
d_efw_area2,1980,0.9,0.8265602458194437,-0.40910217946347976
d_efw_area2,1985,0.9,0.3929333932828756,-0.12256828970745257
d_efw_area2,1990,0.9,0.6690571202406863,-0.46671875478823566
d_efw_area2,1995,0.9,1.2153409265484802,-0.700830117447329
d_efw_area2,2000,0.9,0.31374869264375,-1.1109423105891567
d_efw_area2,2005,0.9,0.6860976367924457,-0.16472108205855307
d_efw_area2,2010,0.9,0.3813344929637167,-0.24092667029278175
d_efw_area2,2015,0.9,0.37074957722367496,-0.19771446216392902
d_efw_area2,2020,0.9,0.3090494748397351,-0.2239676483954768
d_efw_area2,1970,0.85,,
d_efw_area2,1975,0.85,0.5014778510416669,-0.45402824152941146
d_efw_area2,1980,0.85,0.6788765067444444,-0.3271299059882353
d_efw_area2,1985,0.85,0.32027002343774524,-0.07591989358764695
d_efw_area2,1990,0.85,0.438150934303867,-0.36688093667671495
d_efw_area2,1995,0.85,1.115473911898093,-0.5041743610754115
d_efw_area2,2000,0.85,0.26855691123384245,-0.9734590883934257
d_efw_area2,2005,0.85,0.5729271939423622,-0.0977817726041004
d_efw_area2,2010,0.85,0.3287275079146063,-0.16653947528283367
d_efw_area2,2015,0.85,0.3029899614762266,-0.1643128365437465
d_efw_area2,2020,0.85,0.24893850599922493,-0.1637245610882822
d_efw_area3,1970,0.9,,
d_efw_area3,1975,0.9,0.578125573239361,-3.528269236626066
d_efw_area3,1980,0.9,1.5861319267909582,-1.3351542427229688
d_efw_area3,1985,0.9,1.5072958259338152,-1.5749494231493615
d_efw_area3,1990,0.9,1.5824234488349271,-1.7057495534969156
d_efw_area3,1995,0.9,2.820018256034905,-2.0649823669262717
d_efw_area3,2000,0.9,3.2049729286119715,-0.6028565668477693
d_efw_area3,2005,0.9,2.5950975298926977,-0.8370358586297199
d_efw_area3,2010,0.9,2.0577003287177527,-0.83422467252116
d_efw_area3,2015,0.9,1.3874156382045792,-0.3275548870876554
d_efw_area3,2020,0.9,0.9956931560371157,-0.9157470841698935
d_efw_area3,1970,0.85,,
d_efw_area3,1975,0.85,0.1113323649879151,-2.9859897240822346
d_efw_area3,1980,0.85,0.9755421758378555,-0.8137532165774591
d_efw_area3,1985,0.85,1.365477871609177,-0.8312918027814612
d_efw_area3,1990,0.85,1.251964881229363,-1.0155693948924234
d_efw_area3,1995,0.85,2.104195248960336,-1.7367803039691665
d_efw_area3,2000,0.85,2.7446404879794106,-0.4300625203497792
d_efw_area3,2005,0.85,2.217095466164035,-0.646334633915172
d_efw_area3,2010,0.85,1.5244931437369857,-0.6915892896352891
d_efw_area3,2015,0.85,1.2534398195108118,-0.1529741242355847
d_efw_area3,2020,0.85,0.7951617296195267,-0.7607294049161539
d_efw_area4,1970,0.9,,
d_efw_area4,1975,0.9,2.072347767882878,-1.4122818131579298
d_efw_area4,1980,0.9,2.412615049097275,-1.6980035558011795
d_efw_area4,1985,0.9,1.336237031153507,-1.154666666666667
d_efw_area4,1990,0.9,2.3496918470749164,-0.5309629629629627
d_efw_area4,1995,0.9,3.015950940127174,-0.6030533446294282
d_efw_area4,2000,0.9,1.8103916209079944,-0.6050809296921469
d_efw_area4,2005,0.9,0.9088579958490748,-0.8810843373078936
d_efw_area4,2010,0.9,0.6042345000572897,-0.2886209359377433
d_efw_area4,2015,0.9,0.5463632648560159,-0.6191407133355115
d_efw_area4,2020,0.9,0.1681050614195897,-0.6580744810592496
d_efw_area4,1970,0.85,,
d_efw_area4,1975,0.85,1.3122116874820648,-0.812222222222222
d_efw_area4,1980,0.85,1.4442963798774608,-1.0212222222222218
d_efw_area4,1985,0.85,0.9224444444444442,-0.5996666666666671
d_efw_area4,1990,0.85,1.8650699959949206,-0.4555555555555557
d_efw_area4,1995,0.85,2.3524261396218225,-0.5208475213966988
d_efw_area4,2000,0.85,1.6285988011715307,-0.3148034124135267
d_efw_area4,2005,0.85,0.6028396942664681,-0.7507641996376861
d_efw_area4,2010,0.85,0.5370472993649926,-0.19572978169523478
d_efw_area4,2015,0.85,0.41341898058977544,-0.36077168198407444
d_efw_area4,2020,0.85,0.05327977678453625,-0.6103877762446842
d_efw_area5,1970,0.9,,
d_efw_area5,1975,0.9,0.24028408111341906,-1.3679162354362528
d_efw_area5,1980,0.9,1.0306940974132808,-0.7027855335124867
d_efw_area5,1985,0.9,1.0978650473122293,-0.35936923014034666
d_efw_area5,1990,0.9,1.0296909855433616,-0.7193997330664003
d_efw_area5,1995,0.9,1.12669460515873,-0.7557832415749081
d_efw_area5,2000,0.9,1.1683488463517275,-0.8318161629980433
d_efw_area5,2005,0.9,0.8486575486367095,-0.4991378257650399
